Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,175.78999299999998,177.190002,173.759995,177.139999,172.80015600000002,3745500
2016-01-05,176.71000700000002,177.5,172.919998,174.08999599999999,169.824875,4521600
2016-01-06,171.309998,172.020004,169.100006,169.83999599999999,165.678986,5539400
2016-01-07,166.669998,169.5,163.600006,164.619995,160.586899,5687900
2016-01-08,166.75,168.419998,163.630005,163.940002,159.923523,4929800
2016-01-11,165.0,166.46000700000002,163.33999599999999,165.729996,161.669678,4386500
2016-01-12,166.889999,168.179993,163.300003,165.71000700000002,161.650192,4441300
2016-01-13,166.46000700000002,167.100006,157.919998,158.990005,155.094803,5252500
2016-01-14,160.300003,162.509995,156.759995,161.389999,157.43598899999998,4272500
2016-01-15,156.699997,157.990005,153.809998,155.610001,151.797623,6159700
2016-01-19,157.559998,158.759995,155.279999,156.820007,152.97796599999998,5860600
2016-01-20,154.100006,158.369995,151.649994,153.75,149.98317,9369100
2016-01-21,153.970001,155.16000400000001,151.490005,151.649994,147.93464699999998,5738800
2016-01-22,154.580002,156.990005,153.860001,156.860001,153.016983,5583800
2016-01-25,156.399994,156.529999,151.119995,151.119995,147.417603,5051700
2016-01-26,151.119995,156.100006,151.119995,154.449997,150.666031,5237700
2016-01-27,153.58999599999999,158.429993,153.190002,153.720001,149.953934,5153100
2016-01-28,155.009995,158.050003,152.529999,157.059998,153.212082,4292900
2016-01-29,158.639999,161.58999599999999,157.779999,161.559998,157.60183700000002,4887900
2016-02-01,160.41000400000001,161.0,158.449997,159.649994,155.738647,2963500
2016-02-02,157.0,157.0,150.16000400000001,151.699997,147.98341399999998,6316200
2016-02-03,152.5,153.83999599999999,147.009995,152.679993,148.939392,5893200
2016-02-04,152.300003,157.949997,152.009995,156.490005,152.65606699999998,4573100
2016-02-05,157.570007,159.699997,155.690002,156.470001,152.636551,4596100
2016-02-08,153.830002,153.830002,145.25,149.25,145.593445,8680000
2016-02-09,145.520004,149.949997,145.100006,148.25,144.61795,6919400
2016-02-10,150.0,153.380005,147.21000700000002,147.229996,143.62294,7609600
2016-02-11,143.41000400000001,144.41000400000001,139.050003,140.690002,137.24316399999998,10252200
2016-02-12,143.75,146.509995,143.699997,146.130005,142.549896,9009300
2016-02-16,149.600006,150.479996,147.449997,149.020004,145.36908,10198000
2016-02-17,150.800003,151.869995,150.309998,150.940002,147.24203500000002,5578800
2016-02-18,151.25,152.0,147.369995,147.729996,144.110672,5895500
2016-02-19,147.0,147.729996,145.429993,146.91000400000001,143.310776,5257300
2016-02-22,149.199997,149.990005,148.229996,148.78999299999998,145.144684,4287900
2016-02-23,148.0,148.050003,144.050003,144.91000400000001,141.359772,4249600
2016-02-24,143.080002,145.639999,140.259995,145.559998,141.99383500000002,5714700
2016-02-25,146.0,149.070007,145.229996,148.25,144.61795,4299600
2016-02-26,149.720001,151.970001,149.009995,150.25,146.568924,5924500
2016-02-29,149.75,150.28999299999998,148.320007,149.529999,146.500351,5506400
2016-03-01,150.949997,154.770004,150.679993,154.649994,151.516617,6490400
2016-03-02,154.75,155.41000400000001,153.449997,154.199997,151.075729,5047500
2016-03-03,154.0,155.66000400000001,153.360001,155.330002,152.18284599999998,3615800
2016-03-04,156.369995,158.850006,155.28999299999998,156.83999599999999,153.662262,5256700
2016-03-07,156.0,156.369995,154.41000400000001,155.350006,152.202438,2771900
2016-03-08,154.0,154.229996,151.5,151.600006,148.528427,3830400
2016-03-09,152.110001,152.5,149.179993,149.91000400000001,146.87266499999998,3250900
2016-03-10,150.41000400000001,153.600006,148.83999599999999,151.020004,147.960175,4631800
2016-03-11,153.279999,154.16000400000001,152.369995,153.940002,150.821014,4058700
2016-03-14,153.66000400000001,154.449997,152.130005,153.490005,150.38011200000003,3317900
2016-03-15,152.649994,152.740005,150.899994,152.029999,148.949692,3731400
2016-03-16,150.919998,152.850006,149.71000700000002,150.53999299999998,147.48988300000002,4310300
2016-03-17,150.389999,153.979996,148.75,152.91000400000001,149.811859,4431700
2016-03-18,153.91000400000001,158.179993,153.869995,157.600006,154.40686000000002,7413200
2016-03-21,157.240005,158.899994,155.75,156.28999299999998,153.12338300000002,4410200
2016-03-22,155.5,155.58999599999999,153.360001,154.199997,151.075729,3521500
2016-03-23,154.25,155.550003,153.58999599999999,154.080002,150.958145,3633400
2016-03-24,152.399994,153.03999299999998,150.130005,153.0,149.90004,3693400
2016-03-28,153.139999,154.639999,152.380005,153.83999599999999,150.723022,2308600
2016-03-29,152.869995,155.350006,151.5,155.029999,151.888931,2919500
2016-03-30,156.130005,158.020004,154.889999,156.5,153.32913200000002,3130600
2016-03-31,156.179993,157.479996,156.059998,156.979996,153.79939299999998,2927300
2016-04-01,156.46000700000002,160.009995,155.08999599999999,159.820007,156.581863,3373400
2016-04-04,159.970001,160.0,157.389999,157.770004,154.57341,2478100
2016-04-05,156.440002,156.529999,154.550003,155.350006,152.202438,2822700
2016-04-06,155.259995,156.270004,153.919998,155.190002,152.045654,2927400
2016-04-07,153.649994,154.029999,149.369995,150.41000400000001,147.362534,4786800
2016-04-08,152.070007,152.869995,150.009995,150.279999,147.235168,3122200
2016-04-11,151.179993,153.899994,150.41000400000001,152.199997,149.116241,3464300
2016-04-12,152.669998,155.08999599999999,151.300003,154.309998,151.183487,2732900
2016-04-13,156.529999,159.990005,156.380005,159.850006,156.61128200000002,5151100
2016-04-14,159.529999,162.270004,159.149994,160.91000400000001,157.64978,3067100
2016-04-15,161.229996,161.779999,158.199997,158.520004,155.308197,3467900
